"docUuid","visitors","desktop_search_R","desktop_search_V","desktop_search_S3"
"ae91f93c-964f-11e8-aa2d-2078d824af27","14056",30,60,31
"e129338e-963f-11e8-a542-2078d824af27","14050",152,188,162
"5e3eb89a-a472-11e8-bd25-41d95f45639c","14045",2,2,2
"ea50192c-9708-11e8-82a3-2078d824af27","14018",108,133,121
"4f70ab5a-9a33-11e8-a608-f017b12b5a53","14011",59,88,62
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","13925",207,247,213
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","13557",70,84,75
"9da0e2ba-a526-11e8-9b22-8f4a631f500f","13500",17,22,17
"a5dc0066-a154-11e8-84d8-8f4a631f500f","13494",202,249,229
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","12898",171,211,181
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","12861",2,2,2
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","12829",6,17,6
"421f65a6-93f6-11e8-925d-fc60c095174f","12784",116,137,129
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","12761",19,24,20
"d89a2080-994f-11e8-b4bc-2078d824af27","12644",12,18,12
"07b77414-9f98-11e8-b572-eb1702e95e35","12405",50,70,56
"e129338e-963f-11e8-a542-2078d824af27","12403",59,70,64
"1c3a3da4-a06a-11e8-815c-41d95f45639c","12313",5,28,25
"aa8477c6-a224-11e8-b201-41d95f45639c","12297",16,19,19
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","12276",26,31,26
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","12269",33,47,41
"69f972a4-a168-11e8-9077-41d95f45639c","12116",66,95,71
"8453807a-93f0-11e8-b468-fc60c095174f","12088",226,299,227
"a5dc0066-a154-11e8-84d8-8f4a631f500f","12031",135,169,161
"ea50192c-9708-11e8-82a3-2078d824af27","12005",63,82,76
"f462cb8c-957b-11e8-b8cb-fc60c095174f","11985",4,6,4
"163999e2-9af0-11e8-87aa-1e0e02e95e35","11944",44,63,45
"4bbe6494-a536-11e8-adae-8f4a631f500f","11792",66,76,71
"b9a82542-971e-11e8-815e-fc60c095174f","11731",2,4,2
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","11699",103,118,105
"7b2172f8-745d-11e8-a55f-ab7403c1ce92","11547",1,2,2
"456b68e4-9ca8-11e8-884c-eb1702e95e35","11516",35,41,38
"ea50192c-9708-11e8-82a3-2078d824af27","11212",125,151,138
"459e47c8-89b1-11e8-a236-8869a7fcb7dc","11121",0,0,0
"feb5a38e-a47b-11e8-b5e0-41d95f45639c","11055",2,3,2
"7b2172f8-745d-11e8-a55f-ab7403c1ce92","10936",0,0,0
"88906ed2-a53e-11e8-aed1-8f4a631f500f","10808",10,16,12
"c97f5c78-9977-11e8-a79d-852902e95e35","10661",25,36,26
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","10628",69,84,70
"bce1283c-a1fd-11e8-897e-41d95f45639c","10536",29,48,31
"e9383386-995f-11e8-a4ed-852902e95e35","10528",28,49,32
"fa5e724a-9baa-11e8-856a-eb1702e95e35","10471",17,22,19
"69f972a4-a168-11e8-9077-41d95f45639c","10396",44,64,46
"42321806-94b7-11e8-9e55-fc60c095174f","10305",125,155,135
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","10143",47,53,49
"108aa054-96fe-11e8-bcbd-2078d824af27","10132",28,38,29
"1bca607c-6b24-11e8-b44b-8ed2e26c6167","10111",1,1,1
"335b20e6-9f90-11e8-80d1-eb1702e95e35","9756",287,359,322
"b9a82542-971e-11e8-815e-fc60c095174f","9598",18,31,21
"3bfd7946-9014-11e8-833b-2078d824af27","9567",27,42,27
"ea50192c-9708-11e8-82a3-2078d824af27","9557",99,121,107
"ae8e992c-a08b-11e8-9082-41d95f45639c","9528",68,128,77
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","9408",39,57,40
"ae8e992c-a08b-11e8-9082-41d95f45639c","9396",83,116,89
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","9352",11,17,14
"456b68e4-9ca8-11e8-884c-eb1702e95e35","9297",15,20,15
"a5956c8a-9ee0-11e8-ad05-a25db12b5a53","9248",51,76,56
"d89a2080-994f-11e8-b4bc-2078d824af27","9222",14,20,16
"3924a578-9659-11e8-ae1c-fc60c095174f","9038",22,24,22
"1f70904e-9b02-11e8-bc21-f017b12b5a53","8988",16,26,22
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","8801",96,138,104
"21b31f3a-a12d-11e8-be1d-41d95f45639c","8745",61,73,67
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","8602",174,236,185
"a834ff8a-93d9-11e8-ae17-2078d824af27","8374",60,75,61
"9f71df54-a215-11e8-92a5-8f4a631f500f","8325",9,13,10
"3bfd7946-9014-11e8-833b-2078d824af27","8297",34,61,32
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","8207",50,63,50
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","8199",13,13,13
"ae8e992c-a08b-11e8-9082-41d95f45639c","8170",108,174,116
"3bfd7946-9014-11e8-833b-2078d824af27","8163",13,22,13
"fa5e724a-9baa-11e8-856a-eb1702e95e35","8100",12,15,14
"3924a578-9659-11e8-ae1c-fc60c095174f","7969",30,38,31
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","7790",1,2,1
"5465e68c-9968-11e8-b9c7-852902e95e35","7756",85,95,86
"f7b56108-8e75-11e8-b34d-8869a7fcb7dc","7755",551,636,597
"aa8477c6-a224-11e8-b201-41d95f45639c","7746",49,53,51
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","7676",46,53,48
"1c3a3da4-a06a-11e8-815c-41d95f45639c","7675",3,21,13
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","7665",26,34,29
"3bfd7946-9014-11e8-833b-2078d824af27","7642",28,38,25
"c43b5286-a146-11e8-bf2c-8f4a631f500f","7563",42,106,98
"3d66192a-9490-11e8-9907-2078d824af27","7482",90,109,92
