"docUuid","visitors","desktop_all_R","desktop_all_V","desktop_all_S3"
"138ad2d4-9559-11e8-993b-2078d824af27","16389",7415,12524,8170
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","16343",1983,9132,7288
"fb4e9adc-958c-11e8-89f9-fc60c095174f","16336",7191,9928,7353
"108aa054-96fe-11e8-bcbd-2078d824af27","16322",5203,8520,5577
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","16202",7757,11491,8996
"bce78bf8-a510-11e8-823f-8f4a631f500f","16119",7674,11778,9994
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","16023",5980,12672,6365
"ae91f93c-964f-11e8-aa2d-2078d824af27","15943",7226,11403,7357
"f5fd35d8-a546-11e8-aa27-8f4a631f500f","15707",5116,8719,5334
"ed3a207c-a457-11e8-8f32-8f4a631f500f","15620",9634,11596,9854
"07b77414-9f98-11e8-b572-eb1702e95e35","15521",7933,12193,8874
"e9383386-995f-11e8-a4ed-852902e95e35","15517",6206,11878,6726
"1f70904e-9b02-11e8-bc21-f017b12b5a53","15469",7897,12499,9321
"a5dc0066-a154-11e8-84d8-8f4a631f500f","15155",7644,8781,8336
"ae91f93c-964f-11e8-aa2d-2078d824af27","15148",6774,10855,6894
"c5eb79ce-a085-11e8-a080-41d95f45639c","15126",8091,11549,8596
"b6f434f0-9631-11e8-8a60-fc60c095174f","15109",7230,10339,7531
"3924a578-9659-11e8-ae1c-fc60c095174f","14908",7002,10243,7366
"bce1283c-a1fd-11e8-897e-41d95f45639c","14768",4398,8124,4600
"e028d788-a1f1-11e8-9f37-8f4a631f500f","14689",8056,11494,8651
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","14645",1763,10685,8339
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","14585",9289,12013,9730
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","14492",1773,8016,6514
"69f972a4-a168-11e8-9077-41d95f45639c","14266",6853,11404,7199
"ae91f93c-964f-11e8-aa2d-2078d824af27","14056",7159,11567,7317
"e129338e-963f-11e8-a542-2078d824af27","14050",8249,10213,9162
"5e3eb89a-a472-11e8-bd25-41d95f45639c","14045",7841,9880,8381
"ea50192c-9708-11e8-82a3-2078d824af27","14018",9156,11476,10526
"4f70ab5a-9a33-11e8-a608-f017b12b5a53","14011",5413,9720,5710
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","13961",5874,9841,7956
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","13925",8474,9954,8744
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","13557",7459,9216,8095
"9da0e2ba-a526-11e8-9b22-8f4a631f500f","13500",6460,9376,6849
"a5dc0066-a154-11e8-84d8-8f4a631f500f","13494",8536,9770,9307
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","12898",7699,9319,8264
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","12829",4806,9804,4679
"421f65a6-93f6-11e8-925d-fc60c095174f","12784",5626,7747,6434
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","12761",4306,8976,4661
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","12746",6303,7726,6648
"d89a2080-994f-11e8-b4bc-2078d824af27","12644",7454,9883,8005
"07b77414-9f98-11e8-b572-eb1702e95e35","12405",6115,9491,6806
"e129338e-963f-11e8-a542-2078d824af27","12403",6351,7904,7073
"1c3a3da4-a06a-11e8-815c-41d95f45639c","12313",1508,8746,7041
"aa8477c6-a224-11e8-b201-41d95f45639c","12297",8962,10646,9370
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","12276",7543,9016,7955
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","12269",5634,8849,6531
"69f972a4-a168-11e8-9077-41d95f45639c","12116",4592,7585,4789
"8453807a-93f0-11e8-b468-fc60c095174f","12088",6858,9596,6943
"a5dc0066-a154-11e8-84d8-8f4a631f500f","12031",5509,6382,6094
"ea50192c-9708-11e8-82a3-2078d824af27","12005",7476,9255,8533
"f462cb8c-957b-11e8-b8cb-fc60c095174f","11985",4045,9442,4354
"163999e2-9af0-11e8-87aa-1e0e02e95e35","11944",4989,8971,5208
"4bbe6494-a536-11e8-adae-8f4a631f500f","11792",7356,9450,8584
"b9a82542-971e-11e8-815e-fc60c095174f","11731",7013,9769,7882
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","11699",5240,5967,5359
"7b2172f8-745d-11e8-a55f-ab7403c1ce92","11547",8636,9610,8935
"456b68e4-9ca8-11e8-884c-eb1702e95e35","11516",4727,5618,4950
"ea50192c-9708-11e8-82a3-2078d824af27","11212",5497,6859,6315
"feb5a38e-a47b-11e8-b5e0-41d95f45639c","11055",5068,6330,5349
"88906ed2-a53e-11e8-aed1-8f4a631f500f","10808",5868,7064,6626
"c97f5c78-9977-11e8-a79d-852902e95e35","10661",3633,7499,3878
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","10628",4263,5680,4466
"bce1283c-a1fd-11e8-897e-41d95f45639c","10536",3535,6484,3723
"e9383386-995f-11e8-a4ed-852902e95e35","10528",4367,8156,4711
"fa5e724a-9baa-11e8-856a-eb1702e95e35","10471",6433,8264,6971
"69f972a4-a168-11e8-9077-41d95f45639c","10396",3973,6539,4137
"42321806-94b7-11e8-9e55-fc60c095174f","10305",6304,7951,6595
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","10143",5725,7025,6171
"108aa054-96fe-11e8-bcbd-2078d824af27","10132",3367,5786,3636
"335b20e6-9f90-11e8-80d1-eb1702e95e35","9756",4936,6277,5678
"b9a82542-971e-11e8-815e-fc60c095174f","9598",3837,5176,4168
"3bfd7946-9014-11e8-833b-2078d824af27","9567",5089,8048,4770
"ea50192c-9708-11e8-82a3-2078d824af27","9557",4427,5458,5020
"ae8e992c-a08b-11e8-9082-41d95f45639c","9528",3821,5947,3996
"7b2172f8-745d-11e8-a55f-ab7403c1ce92","9439",6961,7784,7220
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","9408",3795,7323,3960
"ae8e992c-a08b-11e8-9082-41d95f45639c","9396",3757,5767,3929
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","9352",4367,5609,4729
"456b68e4-9ca8-11e8-884c-eb1702e95e35","9297",4010,4812,4175
"a5956c8a-9ee0-11e8-ad05-a25db12b5a53","9248",4496,7058,4733
"d89a2080-994f-11e8-b4bc-2078d824af27","9222",5238,6982,5648
"3924a578-9659-11e8-ae1c-fc60c095174f","9038",4929,7151,5189
"1f70904e-9b02-11e8-bc21-f017b12b5a53","8988",4187,6894,5066
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","8801",3131,5661,3343
"21b31f3a-a12d-11e8-be1d-41d95f45639c","8745",3026,3550,3260
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","8602",4354,7025,4630
"a834ff8a-93d9-11e8-ae17-2078d824af27","8374",4400,6153,4655
"9f71df54-a215-11e8-92a5-8f4a631f500f","8325",4390,6537,4600
"3bfd7946-9014-11e8-833b-2078d824af27","8297",4029,5982,3842
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","8207",3423,4621,3601
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","8199",4743,6057,5084
"1bca607c-6b24-11e8-b44b-8ed2e26c6167","8189",7212,8001,7549
"ae8e992c-a08b-11e8-9082-41d95f45639c","8170",4537,6836,4741
"3bfd7946-9014-11e8-833b-2078d824af27","8163",4166,6393,3930
"fa5e724a-9baa-11e8-856a-eb1702e95e35","8100",4955,6400,5420
"3924a578-9659-11e8-ae1c-fc60c095174f","7969",3394,4892,3556
"5465e68c-9968-11e8-b9c7-852902e95e35","7756",5213,5972,5341
"f7b56108-8e75-11e8-b34d-8869a7fcb7dc","7755",5061,5920,5496
"aa8477c6-a224-11e8-b201-41d95f45639c","7746",3596,4350,3756
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","7676",3670,4464,4101
"1c3a3da4-a06a-11e8-815c-41d95f45639c","7675",978,6099,4844
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","7665",1950,2691,2057
"3bfd7946-9014-11e8-833b-2078d824af27","7642",3571,5627,3359
"c43b5286-a146-11e8-bf2c-8f4a631f500f","7563",763,3863,3295
"3d66192a-9490-11e8-9907-2078d824af27","7482",4091,4913,4280
"c83591a6-a05d-11e8-af80-8f4a631f500f","7469",3523,4671,3619
"45b330ee-9a18-11e8-b397-f017b12b5a53","7432",3423,4670,3945
"1f70904e-9b02-11e8-bc21-f017b12b5a53","7429",3762,5946,4492
"421f65a6-93f6-11e8-925d-fc60c095174f","7380",4327,5062,4607
"3446b5f6-956d-11e8-a183-fc60c095174f","7224",3598,4142,3760
"2638cfae-9c74-11e8-96ad-a25db12b5a53","7179",4018,5206,4289
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","7128",3212,4883,3430
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","7038",2741,3472,3301
"3924a578-9659-11e8-ae1c-fc60c095174f","6890",2878,4059,3016
"9f71df54-a215-11e8-92a5-8f4a631f500f","6761",2525,3769,2646
"f462cb8c-957b-11e8-b8cb-fc60c095174f","6732",2286,5350,2430
