"docUuid","visitors","MAX(shareTotal)","visits_social","social_R","social_V","social_S3"
"3d66192a-9490-11e8-9907-2078d824af27","27337",83,"10","5","5","5"
"c83591a6-a05d-11e8-af80-8f4a631f500f","27335",34,"12","2","2","2"
"ed3a207c-a457-11e8-8f32-8f4a631f500f","27188",4,"39","15","16","15"
"907ae110-96eb-11e8-96a7-fc60c095174f","25803",9,"3","0","0","0"
"5465e68c-9968-11e8-b9c7-852902e95e35","25777",26,"2","0","1","0"
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","25667",43,"7","1","4","1"
"c5eb79ce-a085-11e8-a080-41d95f45639c","25557",15,"6","3","4","3"
"9812c736-a211-11e8-9004-8f4a631f500f","25306",37,"3","0","0","0"
"138ad2d4-9559-11e8-993b-2078d824af27","25177",4,"14","3","4","3"
"c43b5286-a146-11e8-bf2c-8f4a631f500f","25175",6,"26","2","6","5"
"a5dc0066-a154-11e8-84d8-8f4a631f500f","25132",15,"23","5","10","10"
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","24564",51,"4","1","2","1"
"f0342652-96f5-11e8-83ad-2078d824af27","24515",15,"11","1","5","2"
"7990d002-9fbc-11e8-9724-a25db12b5a53","24502",47,"15","4","8","4"
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","24234",103,"20","5","7","5"
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","24221",3,"18","3","9","3"
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","23937",69,"44","12","17","12"
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","23927",12,"4","3","3","3"
"6d99ea58-a125-11e8-85de-8f4a631f500f","23703",43,"2","0","0","0"
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","23522",6,"1","1","1","1"
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","23370",35,"5","2","3","2"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","23051",164,"13","1","1","1"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","22662",153,"12","5","5","5"
"fcf7151c-94ce-11e8-9aff-fc60c095174f","22363",27,"15","4","6","4"
"2638cfae-9c74-11e8-96ad-a25db12b5a53","22309",9,"4","1","1","1"
"feb5a38e-a47b-11e8-b5e0-41d95f45639c","22012",4,"4","0","0","0"
"907ae110-96eb-11e8-96a7-fc60c095174f","21791",8,"5","2","2","2"
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","21776",15,"8","3","3","3"
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","21594",17,"10","7","6","7"
"bce1283c-a1fd-11e8-897e-41d95f45639c","21371",15,"1","0","0","0"
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","21367",23,"11","5","6","5"
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","21336",71,"69","7","10","7"
"45b330ee-9a18-11e8-b397-f017b12b5a53","20922",10,"8","1","2","2"
"3446b5f6-956d-11e8-a183-fc60c095174f","20677",85,"12","6","7","6"
"fb4e9adc-958c-11e8-89f9-fc60c095174f","20260",8,"4","1","1","1"
"c97f5c78-9977-11e8-a79d-852902e95e35","20032",3,"0","0","0","0"
"78c3ab34-a487-11e8-9645-8f4a631f500f","19143",5,"3","0","0","0"
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","18968",117,"11","4","6","4"
"456b68e4-9ca8-11e8-884c-eb1702e95e35","18644",3,"1","0","0","0"
"f0342652-96f5-11e8-83ad-2078d824af27","18320",16,"13","0","9","1"
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","18049",22,"28","2","6","2"
"5e3eb89a-a472-11e8-bd25-41d95f45639c","17876",5,"10","4","4","4"
"108aa054-96fe-11e8-bcbd-2078d824af27","17840",6,"1","1","1","1"
"907ae110-96eb-11e8-96a7-fc60c095174f","17758",8,"7","2","3","2"
"fd0296d2-93ff-11e8-a43c-fc60c095174f","17738",45,"25","7","14","7"
"c8ba8210-94b1-11e8-ac97-2078d824af27","17685",19,"7","2","5","2"
"b6f434f0-9631-11e8-8a60-fc60c095174f","17364",12,"9","2","3","2"
"456b68e4-9ca8-11e8-884c-eb1702e95e35","17300",2,"0","0","0","0"
"f0342652-96f5-11e8-83ad-2078d824af27","17093",16,"13","1","12","1"
"99301356-9953-11e8-8039-2078d824af27","16846",52,"0","0","0","0"
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","16825",1,"4","2","2","2"
"0814e520-9d3d-11e8-89aa-a25db12b5a53","16823",56,"21","5","7","5"
"f462cb8c-957b-11e8-b8cb-fc60c095174f","16582",6,"0","0","0","0"
"7990d002-9fbc-11e8-9724-a25db12b5a53","16546",74,"31","8","12","8"
"fe3217ec-9a0f-11e8-b345-107bb12b5a53","16517",27,"11","7","8","7"
"138ad2d4-9559-11e8-993b-2078d824af27","16389",8,"4","1","1","1"
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","16343",63,"4","0","0","0"
"fb4e9adc-958c-11e8-89f9-fc60c095174f","16336",3,"15","1","2","1"
"108aa054-96fe-11e8-bcbd-2078d824af27","16322",5,"0","0","0","0"
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","16202",2,"15","5","10","7"
"bce78bf8-a510-11e8-823f-8f4a631f500f","16119",6,"16","4","6","4"
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","16023",2,"0","0","0","0"
"ae91f93c-964f-11e8-aa2d-2078d824af27","15943",193,"23","5","11","5"
"f5fd35d8-a546-11e8-aa27-8f4a631f500f","15707",4,"0","0","0","0"
