"docUuid","visitors","date","isLong","timeReadExpected"
"5465e68c-9968-11e8-b9c7-852902e95e35","57259","2018-08-06",0,44
"2638cfae-9c74-11e8-96ad-a25db12b5a53","56406","2018-08-10",0,86
"4f70ab5a-9a33-11e8-a608-f017b12b5a53","54632","2018-08-08",0,59
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","54554","2018-08-10",1,1313
"0814e520-9d3d-11e8-89aa-a25db12b5a53","54475","2018-08-12",1,351
"69f972a4-a168-11e8-9077-41d95f45639c","54356","2018-08-16",1,157
"335b20e6-9f90-11e8-80d1-eb1702e95e35","53449","2018-08-15",0,55
"fcf7151c-94ce-11e8-9aff-fc60c095174f","52964","2018-08-01",0,66
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","52049","2018-08-08",0,41
"907ae110-96eb-11e8-96a7-fc60c095174f","49797","2018-08-03",0,53
"fb4e9adc-958c-11e8-89f9-fc60c095174f","48947","2018-08-02",0,64
"4f70ab5a-9a33-11e8-a608-f017b12b5a53","48629","2018-08-07",0,59
"a5956c8a-9ee0-11e8-ad05-a25db12b5a53","48061","2018-08-13",0,38
"bce1283c-a1fd-11e8-897e-41d95f45639c","47434","2018-08-17",0,44
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","46664","2018-08-08",0,39
"a5dc0066-a154-11e8-84d8-8f4a631f500f","46016","2018-08-17",0,39
"0814e520-9d3d-11e8-89aa-a25db12b5a53","43536","2018-08-11",1,351
"21b31f3a-a12d-11e8-be1d-41d95f45639c","43113","2018-08-16",0,51
"a5956c8a-9ee0-11e8-ad05-a25db12b5a53","41791","2018-08-14",0,38
"421f65a6-93f6-11e8-925d-fc60c095174f","41540","2018-08-01",0,23
"c5eb79ce-a085-11e8-a080-41d95f45639c","40926","2018-08-16",0,44
"f4d79d92-a519-11e8-a628-8f4a631f500f","40477","2018-08-21",0,45
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","40144","2018-08-10",1,225
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","40128","2018-08-07",0,39
"9812c736-a211-11e8-9004-8f4a631f500f","39580","2018-08-17",0,81
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","38970","2018-08-16",1,289
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","38709","2018-08-13",0,65
"78c3ab34-a487-11e8-9645-8f4a631f500f","38477","2018-08-21",1,106
"bc306efe-a44e-11e8-b3aa-41d95f45639c","36515","2018-08-21",0,58
"c8ba8210-94b1-11e8-ac97-2078d824af27","35983","2018-08-02",0,53
"10e87e8a-94a2-11e8-ba78-2078d824af27","34949","2018-08-02",0,50
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","34791","2018-08-15",1,282
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","34711","2018-08-09",0,19
"21b31f3a-a12d-11e8-be1d-41d95f45639c","34612","2018-08-17",0,55
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","33851","2018-08-11",0,65
"2638cfae-9c74-11e8-96ad-a25db12b5a53","33128","2018-08-13",0,90
"c97f5c78-9977-11e8-a79d-852902e95e35","32393","2018-08-07",0,67
"c429cfac-9593-11e8-863b-fc60c095174f","31775","2018-08-01",0,48
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","31684","2018-08-14",0,64
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","30401","2018-08-12",0,65
"c43b5286-a146-11e8-bf2c-8f4a631f500f","30284","2018-08-17",1,405
